,director,director_id
0,Alexander Black,0
1,Charles Tait,1
2,Urban Gad,2
3,Charles L. Gaskill,3
4,Francesco Bertolini,4
5,Sidney Olcott,5
6,Ernst Lubitsch,6
7,Enrico Guazzoni,7
8,Aristide Demetriade,8
9,André Calmettes,9
10,August Blom,10
11,Louis Feuillade,11
12,Victor Sjöström,12
13,Louis Feuillade,13
14,Mario Caserini,14
15,Alfred Machin,15
16,Louis Feuillade,16
17,D.W. Griffith,17
18,Paul Wegener,18
19,Mario Caserini,19
20,Francesca Bertini,20
21,D.W. Griffith,21
22,Reginald Barker,22
23,Giovanni Pastrone,23
24,James Kirkwood,24
25,Léonce Perret,25
26,Louis Feuillade,26
27,Sidney Drew,27
28,Henrik Galeen,28
29,Benjamin Christensen,29
30,J. Farrell MacDonald,30
31,Lois Weber,31
32,Edward S. Curtis,32
33,D.W. Griffith,33
34,J. Farrell MacDonald,34
35,Louis J. Gasnier,35
36,Oscar Apfel,36
37,Edwin S. Porter,37
38,Michael Curtiz,38
39,William Robert Daly,39
40,Cecil B. DeMille,40
41,Maurice Tourneur,41
42,Reginald Barker,42
43,Maurice Tourneur,43
44,W.W. Young,44
45,D.W. Griffith,45
46,Cecil B. DeMille,46
47,Cecil B. DeMille,47
48,Reginald Barker,48
49,Frank Powell,49
50,Cecil B. DeMille,50
51,Benjamin Christensen,51
52,Reginald Barker,52
53,Luigi Romano Borgnetto,53
54,Christy Cabanne,54
55,Edgar Lewis,55
56,Yevgeny Bauer,56
57,Nino Oxilia,57
58,Raoul Walsh,58
59,Louis Feuillade,59
60,George Melford,60
61,Stuart Paton,61
62,Chester M. Franklin,62
63,Reginald Barker,63
64,Chester Withey,64
65,Victor Sjöström,65
66,Christy Cabanne,66
67,Chester M. Franklin,67
68,Allan Dwan,68
69,Chester M. Franklin,69
70,Allan Dwan,70
71,Charles Swickard,71
72,John Emerson,72
73,Lloyd Ingraham,73
74,D.W. Griffith,74
75,Louis Feuillade,75
76,Paul Powell,76
77,Christy Cabanne,77
78,William S. Hart,78
79,Ernst Lubitsch,79
80,Arthur Berthelet,80
81,Lois Weber,81
82,J. Searle Dawley,82
83,John Emerson,83
84,Mauritz Stiller,84
85,Phillips Smalley,85
86,Ruth Ann Baldwin,86
87,John Ford,87
88,J. Gordon Edwards,88
89,Maurice Tourneur,89
90,Holger-Madsen,90
91,Cecil B. DeMille,91
92,Cecil B. DeMille,92
93,Marshall Neilan,93
94,Abel Gance,94
95,Allan Dwan,95
96,Yakov Protazanov,96
97,Maurice Tourneur,97
98,George Irving,98
99,Marshall Neilan,99
100,Cecil B. DeMille,100
101,Yakov Protazanov,101
102,John Ford,102
103,Frank Lloyd,103
104,Victor Sjöström,104
105,Mauritz Stiller,105
106,Harry Davenport,106
107,William Desmond Taylor,107
108,Victor Sjöström,108
109,John Emerson,109
110,Marshall Neilan,110
111,Alexander Korda,111
112,Ernst Lubitsch,112
113,Victor Sjöström,113
114,Maurice Tourneur,114
115,Ida May Park,115
116,Ernst Lubitsch,116
117,Abel Gance,117
118,Ernst Lubitsch,118
119,Sidney Franklin,119
120,D.W. Griffith,120
121,John Ford,121
122,William Desmond Taylor,122
123,Marshall Neilan,123
124,Joseph Maxwell,124
125,F. Richard Jones,125
126,Cecil B. DeMille,126
127,Walter Edwards,127
128,D.W. Griffith,128
129,Albert Parker,129
130,Charles Chaplin,130
131,Marshall Neilan,131
132,Scott Sidney,132
133,Louis Feuillade,133
134,Alan Crosland,134
135,Cecil B. DeMille,135
136,Richard Oswald,136
137,Oscar Apfel,137
138,Ernst Lubitsch,138
139,Enrique Rosas,139
140,David Hartford,140
141,Irvin Willat,141
142,Erich von Stroheim,142
143,D.W. Griffith,143
144,Jerome Storm,144
145,Marshall Neilan,145
146,Robert Z. Leonard,146
147,Cecil B. DeMille,147
148,Albert Parker,148
149,Cecil B. DeMille,149
150,Allan Dwan,150
151,D.W. Griffith,151
152,Irvin Willat,152
153,Fritz Lang,153
154,James Cruze,154
155,Joseph De Grasse,155
156,Mauritz Stiller,156
157,Sidney Franklin,157
158,Ernst Lubitsch,158
159,Abel Gance,159
160,Robert Wiene,160
161,Cecil B. DeMille,161
162,Ernst Lubitsch,162
163,George Loane Tucker,163
164,D.W. Griffith,164
165,Otto Rippert,165
166,Carl Theodor Dreyer,166
167,Ernst Lubitsch,167
168,James Cruze,168
169,D.W. Griffith,169
170,Raymond Longford,170
171,Fritz Lang,171
172,Mauritz Stiller,172
173,D.W. Griffith,173
174,Richard Oswald,174
175,Maurice Tourneur,175
176,Lambert Hillyer,176
177,Victor Fleming,177
178,Tod Browning,178
179,F. Richard Jones,179
180,Hans Werckmeister,180
181,Ernst Lubitsch,181
182,Robert Z. Leonard,182
183,Jacques Feyder,183
184,Carl Theodor Dreyer,184
185,John S. Robertson,185
186,Mauritz Stiller,186
187,Alan Crosland,187
188,F.W. Murnau,188
189,Robert Wiene,189
190,Carl Boese,190
191,Lawrence C. Windom,191
192,André Antoine,192
193,Marcel L'Herbier,193
194,Frank Borzage,194
195,King Vidor,195
196,John Ford,196
197,Victor Sjöström,197
198,Ernst Lubitsch,198
199,Clarence Brown,199
200,David Kirkland,200
201,D.W. Griffith,201
202,Fred Niblo,202
203,Gunnar Sommerfeldt,203
204,Victor Fleming,204
205,David Hartford,205
206,Paul Powell,206
207,Carl Theodor Dreyer,207
208,Leon D'Usseau,208
209,Ernst Lubitsch,209
210,George Melford,210
211,Herbert Blaché,211
212,Fred Niblo,212
213,Cecil B. DeMille,213
214,Fritz Lang,214
215,John Francis Dillon,215
216,Ernst Lubitsch,216
217,James Cruze,217
218,Lambert Hillyer,218
219,Karl Heinz Martin,219
220,Fritz Lang,220
221,D.W. Griffith,221
222,Cecil B. DeMille,222
223,Oscar Micheaux,223
224,Wallace Worsley,224
225,Robert F. Hill,225
226,Cecil B. DeMille,226
227,Max Linder,227
228,Ernst Lubitsch,228
229,Lois Weber,229
230,George D. Baker,230
231,Ray C. Smallwood,231
232,Rex Ingram,232
233,D.W. Griffith,233
234,Maurice Campbell,234
235,Marcel L'Herbier,235
236,Robert G. Vignola,236
237,Cecil B. DeMille,237
238,Rex Ingram,238
239,Svend Gade,239
240,Leopold Jessner,240
241,Joe May,241
242,Joe May,242
243,Mauritz Stiller,243
244,Charles Chaplin,244
245,Victor Sjöström,245
246,James Cruze,246
247,Alfred E. Green,247
248,Frances Marion,248
249,William C. de Mille,249
250,Albert Austin,250
251,Fritz Lang,251
252,Theodore Reed,252
253,D.W. Griffith,253
254,Tod Browning,254
255,Minoru Murata,255
256,Fred C. Newmeyer,256
257,Dimitri Buchowetzki,257
258,Lupu Pick,258
259,F.W. Murnau,259
260,George Melford,260
261,King Vidor,261
262,André Antoine,262
263,Fred Niblo,263
264,Alfred E. Green,264
265,Henry King,265
266,Lois Weber,266
267,Fritz Lang,267
268,Robert G. Vignola,268
269,Sam Wood,269
270,Fred Niblo,270
271,F.W. Murnau,271
272,George Terwilliger,272
273,Jacques Feyder,273
274,Carl Theodor Dreyer,274
275,Fred C. Newmeyer,275
276,Elmer Clifton,276
277,Irving Cummings,277
278,Erich von Stroheim,278
279,Carl Theodor Dreyer,279
280,Fred C. Newmeyer,280
281,Edward D. Venturini,281
282,Maurice Tourneur,282
283,Burton L. King,283
284,Cecil B. DeMille,284
285,Rupert Julian,285
286,Emmett J. Flynn,286
287,George Melford,287
288,Manfred Noa,288
289,F.W. Murnau,289
290,Frank Lloyd,290
291,Dimitri Buchowetzki,291
292,F.W. Murnau,292
293,Rex Ingram,293
294,Allan Dwan,294
295,Charles Bryant,295
296,Cecil B. DeMille,296
297,Arthur Robison,297
298,Henry King,298
299,Tom Forman,299
