,year_film,year_ceremony,ceremony,category,name,film,winner,title_id
0,1930,1931,4,DIRECTING,Norman Taurog,Skippy,True,tt0163246
1,1931,1932,5,DIRECTING,Frank Borzage,Bad Girl,True,tt3598108
2,1932,1933,6,DIRECTING,Frank Lloyd,Cavalcade,True,tt0427047
3,1935,1936,8,DIRECTING,John Ford,The Informer,True,tt0020025
4,1943,1944,16,DIRECTING,Michael Curtiz,Casablanca,True,tt10497826
5,1944,1945,17,CINEMATOGRAPHY (Black-and-White),Joseph LaShelle,Laura,True,tt0093351
6,1944,1945,17,CINEMATOGRAPHY (Color),Leon Shamroy,Wilson,True,tt1781058
7,1945,1946,18,CINEMATOGRAPHY (Black-and-White),Harry Stradling,The Picture of Dorian Gray,True,tt0435669
8,1947,1948,20,DIRECTING,Elia Kazan,Gentleman's Agreement,True,tt0026402
9,1947,1948,20,BEST MOTION PICTURE,20th Century-Fox,Gentleman's Agreement,True,tt0026402
10,1948,1949,21,BEST MOTION PICTURE,J. Arthur Rank-Two Cities Films,Hamlet,True,tt0116477
11,1950,1951,23,CINEMATOGRAPHY (Color),Robert Surtees,King Solomon's Mines,True,tt0029081
12,1956,1957,29,CINEMATOGRAPHY (Black-and-White),Joseph Ruttenberg,Somebody Up There Likes Me,True,tt2014346
13,1958,1959,31,CINEMATOGRAPHY (Color),Joseph Ruttenberg,Gigi,True,tt0051658
14,1958,1959,31,DIRECTING,Vincente Minnelli,Gigi,True,tt0051658
15,1958,1959,31,BEST MOTION PICTURE,"Arthur Freed, Producer",Gigi,True,tt0051658
16,1959,1960,32,CINEMATOGRAPHY (Color),Robert L. Surtees,Ben-Hur,True,tt2638144
17,1959,1960,32,DIRECTING,William Wyler,Ben-Hur,True,tt2638144
18,1959,1960,32,BEST MOTION PICTURE,"Sam Zimbalist, Producer",Ben-Hur,True,tt2638144
19,1960,1961,33,CINEMATOGRAPHY (Color),Russell Metty,Spartacus,True,tt0054331
20,1961,1962,34,CINEMATOGRAPHY (Color),Daniel L. Fapp,West Side Story,True,tt0055614
21,1961,1962,34,DIRECTING,"Robert Wise, Jerome Robbins",West Side Story,True,tt0055614
22,1961,1962,34,BEST MOTION PICTURE,"Robert Wise, Producer",West Side Story,True,tt0055614
23,1963,1964,36,CINEMATOGRAPHY (Color),Leon Shamroy,Cleopatra,True,tt0346765
24,1963,1964,36,DIRECTING,Tony Richardson,Tom Jones,True,tt0057590
25,1963,1964,36,BEST PICTURE,"Tony Richardson, Producer",Tom Jones,True,tt0057590
26,1964,1965,37,CINEMATOGRAPHY (Color),Harry Stradling,My Fair Lady,True,tt0058385
27,1964,1965,37,DIRECTING,George Cukor,My Fair Lady,True,tt0058385
28,1964,1965,37,BEST PICTURE,"Jack L. Warner, Producer",My Fair Lady,True,tt0058385
29,1968,1969,41,DIRECTING,Carol Reed,Oliver!,True,tt0063385
30,1968,1969,41,BEST PICTURE,"John Woolf, Producer",Oliver!,True,tt0063385
31,1972,1973,45,DIRECTING,Bob Fosse,Cabaret,True,tt0068327
32,1976,1977,49,DIRECTING,John G. Avildsen,Rocky,True,tt0814295
33,1976,1977,49,BEST PICTURE,Irwin Winkler ,Rocky,True,tt0814295
34,1980,1981,53,DIRECTING,Robert Redford,Ordinary People,True,tt1422101
35,1980,1981,53,BEST PICTURE,"Ronald L. Schwary, Producer",Ordinary People,True,tt1422101
36,1981,1982,54,DIRECTING,Warren Beatty,Reds,True,tt0082979
37,1982,1983,55,DIRECTING,Richard Attenborough,Gandhi,True,tt0083987
38,1982,1983,55,BEST PICTURE,"Richard Attenborough, Producer",Gandhi,True,tt0083987
39,1984,1985,57,DIRECTING,Milos Forman,Amadeus,True,tt0086879
40,1984,1985,57,BEST PICTURE,"Saul Zaentz, Producer",Amadeus,True,tt0086879
41,1986,1987,59,DIRECTING,Oliver Stone,Platoon,True,tt0091763
42,1986,1987,59,BEST PICTURE,"Arnold Kopelson, Producer",Platoon,True,tt0091763
43,1993,1994,66,DIRECTING,Steven Spielberg,Schindler's List,True,tt0108052
44,1993,1994,66,BEST PICTURE,"Steven Spielberg, Gerald R. Molen ",Schindler's List,True,tt0108052
45,1994,1995,67,DIRECTING,Robert Zemeckis,Forrest Gump,True,tt0109830
46,1994,1995,67,BEST PICTURE,"Wendy Finerman, Steve Tisch ",Forrest Gump,True,tt0109830
47,1995,1996,68,DIRECTING,Mel Gibson,Braveheart,True,tt0015643
48,1995,1996,68,BEST PICTURE,"Mel Gibson, Alan Ladd, Jr. ",Braveheart,True,tt0015643
49,1997,1998,70,DIRECTING,James Cameron,Titanic,True,tt0120338
50,1997,1998,70,BEST PICTURE,James Cameron ,Titanic,True,tt0120338
51,1998,1999,71,BEST PICTURE,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick ",Shakespeare in Love,True,tt0138097
52,1999,2000,72,DIRECTING,Sam Mendes,American Beauty,True,tt0169547
53,1999,2000,72,BEST PICTURE,Bruce Cohen ,American Beauty,True,tt0169547
54,2000,2001,73,DIRECTING,Steven Soderbergh,Traffic,True,tt2939912
55,2001,2002,74,DIRECTING,Ron Howard,A Beautiful Mind,True,tt0268978
56,2001,2002,74,BEST PICTURE,Brian Grazer ,A Beautiful Mind,True,tt0268978
57,2002,2003,75,BEST PICTURE,"Martin Richards, Producer",Chicago,True,tt0299658
58,2004,2005,77,DIRECTING,Clint Eastwood,Million Dollar Baby,True,tt0405159
59,2004,2005,77,BEST PICTURE,"Clint Eastwood, Albert S. Ruddy ",Million Dollar Baby,True,tt0405159
60,2005,2006,78,BEST PICTURE,Paul Haggis ,Crash,True,tt0115964
61,2009,2010,82,DIRECTING,Kathryn Bigelow,The Hurt Locker,True,tt0887912
62,2009,2010,82,BEST PICTURE,"Kathryn Bigelow, Mark Boal, Nicolas Chartier ",The Hurt Locker,True,tt0887912
63,2011,2012,84,DIRECTING,Michel Hazanavicius,The Artist,True,tt1655442
64,2011,2012,84,BEST PICTURE,"Thomas Langmann, Producer",The Artist,True,tt1655442
65,2012,2013,85,BEST PICTURE,"Grant Heslov, Ben Affleck ",Argo,True,tt1024648
66,2013,2014,86,DIRECTING,Alfonso Cuarón,Gravity,True,tt1454468
67,2015,2016,88,DIRECTING,Alej,The Revenant,True,tt1336006
68,2016,2017,89,DIRECTING,Damien Chazelle,La La Land,True,tt3783958
69,2016,2017,89,BEST PICTURE,"Adele Romanski, Dede Gardner ",Moonlight,True,tt4975722
70,2018,2019,91,DIRECTING,Alfonso Cuarón,Roma,True,tt6155172
71,2018,2019,91,BEST PICTURE,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly ",Green Book,True,tt6966692
72,2019,2020,92,DIRECTING,Bong Joon Ho,Parasite,True,tt6751668
73,2019,2020,92,BEST PICTURE,Kwak Sin Ae ,Parasite,True,tt6751668
