,year_film,year_ceremony,ceremony,category,name,film,winner,title_id
59,1928,1929,2,DIRECTING,Frank Lloyd,The Divine Lady,True,
98,1929,1930,3,DIRECTING,Lewis Milestone,All Quiet on the Western Front,True,
139,1930,1931,4,DIRECTING,Norman Taurog,Skippy,True,tt0163246
171,1931,1932,5,DIRECTING,Frank Borzage,Bad Girl,True,tt3598108
234,1932,1933,6,DIRECTING,Frank Lloyd,Cavalcade,True,tt0427047
282,1934,1935,7,DIRECTING,Frank Capra,It Happened One Night,True,
360,1935,1936,8,DIRECTING,John Ford,The Informer,True,tt0020025
459,1936,1937,9,DIRECTING,Frank Capra,Mr. Deeds Goes to Town,True,
569,1937,1938,10,DIRECTING,Leo McCarey,The Awful Truth,True,
691,1938,1939,11,DIRECTING,Frank Capra,You Can't Take It with You,True,
826,1939,1940,12,CINEMATOGRAPHY (Black-and-White),Gregg Toland,Wuthering Heights,True,
829,1939,1940,12,CINEMATOGRAPHY (Color),"Ernest Haller, Ray Rennahan",Gone with the Wind,True,
833,1939,1940,12,DIRECTING,Victor Fleming,Gone with the Wind,True,
971,1940,1941,13,CINEMATOGRAPHY (Black-and-White),George Barnes,Rebecca,True,
979,1940,1941,13,CINEMATOGRAPHY (Color),Georges Périnal,The Thief of Bagdad,True,
980,1940,1941,13,DIRECTING,John Ford,The Grapes of Wrath,True,
1127,1941,1942,14,CINEMATOGRAPHY (Black-and-White),Arthur Miller,How Green Was My Valley,True,
1134,1941,1942,14,CINEMATOGRAPHY (Color),"Ernest Palmer, Ray Rennahan",Blood and Sand,True,
1140,1941,1942,14,DIRECTING,John Ford,How Green Was My Valley,True,
1307,1942,1943,15,CINEMATOGRAPHY (Black-and-White),Joseph Ruttenberg,Mrs. Miniver,True,
1316,1942,1943,15,CINEMATOGRAPHY (Color),Leon Shamroy,The Black Swan,True,
1322,1942,1943,15,DIRECTING,William Wyler,Mrs. Miniver,True,
1496,1943,1944,16,CINEMATOGRAPHY (Black-and-White),Arthur Miller,The Song of Bernadette,True,
1501,1943,1944,16,CINEMATOGRAPHY (Color),"Hal Mohr, W. Howard Greene",Phantom of the Opera,True,
1503,1943,1944,16,DIRECTING,Michael Curtiz,Casablanca,True,tt10497826
1678,1944,1945,17,CINEMATOGRAPHY (Black-and-White),Joseph LaShelle,Laura,True,tt0093351
1689,1944,1945,17,CINEMATOGRAPHY (Color),Leon Shamroy,Wilson,True,tt1781058
1691,1944,1945,17,DIRECTING,Leo McCarey,Going My Way,True,
1753,1944,1945,17,BEST MOTION PICTURE,Paramount,Going My Way,True,
1840,1945,1946,18,CINEMATOGRAPHY (Black-and-White),Harry Stradling,The Picture of Dorian Gray,True,tt0435669
1843,1945,1946,18,CINEMATOGRAPHY (Color),Leon Shamroy,Leave Her to Heaven,True,
1848,1945,1946,18,DIRECTING,Billy Wilder,The Lost Weekend,True,
1911,1945,1946,18,BEST MOTION PICTURE,Paramount,The Lost Weekend,True,
1993,1946,1947,19,CINEMATOGRAPHY (Black-and-White),Arthur Miller,Anna and the King of Siam,True,
1996,1946,1947,19,CINEMATOGRAPHY (Color),"Charles Rosher, Leonard Smith, Arthur Arling",The Yearling,True,
1997,1946,1947,19,DIRECTING,William Wyler,The Best Years of Our Lives,True,
2027,1946,1947,19,BEST MOTION PICTURE,Samuel Goldwyn Productions,The Best Years of Our Lives,True,
2096,1947,1948,20,CINEMATOGRAPHY (Black-and-White),Guy Green,Great Expectations,True,
2098,1947,1948,20,CINEMATOGRAPHY (Color),Jack Cardiff,Black Narcissus,True,
2104,1947,1948,20,DIRECTING,Elia Kazan,Gentleman's Agreement,True,tt0026402
2134,1947,1948,20,BEST MOTION PICTURE,20th Century-Fox,Gentleman's Agreement,True,tt0026402
2203,1948,1949,21,CINEMATOGRAPHY (Black-and-White),William Daniels,The Naked City,True,
2206,1948,1949,21,CINEMATOGRAPHY (Color),"Joseph Valentine, William V. Skall, Winton Hoch",Joan of Arc,True,
2217,1948,1949,21,DIRECTING,John Huston,The Treasure of the Sierra Madre,True,
2243,1948,1949,21,BEST MOTION PICTURE,J. Arthur Rank-Two Cities Films,Hamlet,True,tt0116477
2311,1949,1950,22,CINEMATOGRAPHY (Black-and-White),Paul C. Vogel,Battleground,True,
2320,1949,1950,22,CINEMATOGRAPHY (Color),Winton Hoch,She Wore a Yellow Ribbon,True,
2329,1949,1950,22,DIRECTING,Joseph L. Mankiewicz,A Letter to Three Wives,True,
2352,1949,1950,22,BEST MOTION PICTURE,Robert Rossen Productions,All the King's Men,True,
2427,1950,1951,23,CINEMATOGRAPHY (Black-and-White),Robert Krasker,The Third Man,True,
2431,1950,1951,23,CINEMATOGRAPHY (Color),Robert Surtees,King Solomon's Mines,True,tt0029081
2439,1950,1951,23,DIRECTING,Joseph L. Mankiewicz,All about Eve,True,
2469,1950,1951,23,BEST MOTION PICTURE,20th Century-Fox,All about Eve,True,
2541,1951,1952,24,CINEMATOGRAPHY (Black-and-White),William C. Mellor,A Place in the Sun,True,
